Record Number,mbfc__Custom_Title__c,ADPDX_Archdiocesan_Assignment__c,Duty_Load__c,mbfc__Start_Date__c,mbfc__Completion_Date__c,Account_Ext_Id,mbfc__Person__r,mbfc__Context__r,mbfc__Use_Custom_Title__c,Archdpdx_Migration_Id__c,Archdpdx_Job_Id__c
3484,School Office Manager,,,2023-01-01,,School_30,{'Adpdx_Migration_Id__c': '3301'},{'Adpdx_Migration_Id__c': 'School_30'},True,3484,49
3482,Main Office Administrative Assistant,,,2023-01-01,,School_15,{'Adpdx_Migration_Id__c': '3300'},{'Adpdx_Migration_Id__c': 'School_15'},True,3482,49
3481,Office Manager,,,2023-01-01,,School_19,{'Adpdx_Migration_Id__c': '3299'},{'Adpdx_Migration_Id__c': 'School_19'},True,3481,49
3480,Administrative Assistant,,,2023-01-01,,School_27,{'Adpdx_Migration_Id__c': '3298'},{'Adpdx_Migration_Id__c': 'School_27'},True,3480,49
3479,Administrative Assistant/Registrar,,,2023-01-01,,School_25,{'Adpdx_Migration_Id__c': '3297'},{'Adpdx_Migration_Id__c': 'School_25'},True,3479,49
3478,Administrative Assistant,,,,,School_21,{'Adpdx_Migration_Id__c': '3296'},{'Adpdx_Migration_Id__c': 'School_21'},True,3478,49
3477,Registrar & Admin Coordinator,,,,,School_16,{'Adpdx_Migration_Id__c': '3295'},{'Adpdx_Migration_Id__c': 'School_16'},True,3477,49
3476,Administrative Assistant,,,2021-09-01,,School_9,{'Adpdx_Migration_Id__c': '1738'},{'Adpdx_Migration_Id__c': 'School_9'},True,3476,49
3475,Secretary and Registrar,,,2021-01-01,,School_10,{'Adpdx_Migration_Id__c': '3294'},{'Adpdx_Migration_Id__c': 'School_10'},True,3475,49
3474,Administrative Assistant,,,,,School_8,{'Adpdx_Migration_Id__c': '3293'},{'Adpdx_Migration_Id__c': 'School_8'},True,3474,49
3471,Office Administrator,,,2023-01-01,,School_5,{'Adpdx_Migration_Id__c': '3292'},{'Adpdx_Migration_Id__c': 'School_5'},True,3471,49
3470,Pastoral Ministry Assistant,,,2023-01-01,,Church_149,{'Adpdx_Migration_Id__c': '3212'},{'Adpdx_Migration_Id__c': 'Church_149'},True,3470,49
3469,Pastoral Associate,,,2023-01-01,,Church_149,{'Adpdx_Migration_Id__c': '3211'},{'Adpdx_Migration_Id__c': 'Church_149'},True,3469,49
3468,Event Manager,,,2023-01-01,,Church_102,{'Adpdx_Migration_Id__c': '3291'},{'Adpdx_Migration_Id__c': 'Church_102'},True,3468,49
3467,OCIA,,,2023-01-01,,Church_102,{'Adpdx_Migration_Id__c': '3290'},{'Adpdx_Migration_Id__c': 'Church_102'},True,3467,49
3466,Business Manager,,,2023-01-01,,Church_102,{'Adpdx_Migration_Id__c': '3289'},{'Adpdx_Migration_Id__c': 'Church_102'},True,3466,49
3465,Church Janitor,,,2023-01-01,,Church_12,{'Adpdx_Migration_Id__c': '3288'},{'Adpdx_Migration_Id__c': 'Church_12'},True,3465,49
3464,"Office Coordinator, Parish Life & Stewardship",,,2023-01-01,,Church_12,{'Adpdx_Migration_Id__c': '3287'},{'Adpdx_Migration_Id__c': 'Church_12'},True,3464,49
3463,Faith Formation Coordinator,,,2023-01-01,,Church_126,{'Adpdx_Migration_Id__c': '3286'},{'Adpdx_Migration_Id__c': 'Church_126'},True,3463,49
3462,Bookkeeper,,,2023-01-01,,Church_173,{'Adpdx_Migration_Id__c': '1688'},{'Adpdx_Migration_Id__c': 'Church_173'},True,3462,49
3461,Head Sacristan,,,2023-01-01,,Church_113,{'Adpdx_Migration_Id__c': '3285'},{'Adpdx_Migration_Id__c': 'Church_113'},True,3461,49
3460,Interim Parish Manager,,,2023-01-01,,Church_113,{'Adpdx_Migration_Id__c': '3284'},{'Adpdx_Migration_Id__c': 'Church_113'},True,3460,49
3459,Director of Evangelization,,,2023-01-01,,Church_113,{'Adpdx_Migration_Id__c': '2976'},{'Adpdx_Migration_Id__c': 'Church_113'},True,3459,49
3458,Administrative Assistant,,,2023-01-01,,Church_113,{'Adpdx_Migration_Id__c': '3283'},{'Adpdx_Migration_Id__c': 'Church_113'},True,3458,49
3457,Administrative Assistant,,,2023-01-01,,Church_112,{'Adpdx_Migration_Id__c': '3282'},{'Adpdx_Migration_Id__c': 'Church_112'},True,3457,49
3456,Music Director 5:30 Mass,,,,,Church_109,{'Adpdx_Migration_Id__c': '3281'},{'Adpdx_Migration_Id__c': 'Church_109'},True,3456,49
3455,Maintenance,,,2023-01-01,,Church_108,{'Adpdx_Migration_Id__c': '3280'},{'Adpdx_Migration_Id__c': 'Church_108'},True,3455,49
3454,Director of Evangelization,,,2023-01-01,,Church_107,{'Adpdx_Migration_Id__c': '3279'},{'Adpdx_Migration_Id__c': 'Church_107'},True,3454,49
3453,Business Manager,,,2023-01-01,,Church_107,{'Adpdx_Migration_Id__c': '3278'},{'Adpdx_Migration_Id__c': 'Church_107'},True,3453,49
3452,Faith Formation Program Coordinator,,,2023-01-01,,Church_107,{'Adpdx_Migration_Id__c': '3277'},{'Adpdx_Migration_Id__c': 'Church_107'},True,3452,49
3451,Music,,,2023-01-01,,Church_106,{'Adpdx_Migration_Id__c': '3276'},{'Adpdx_Migration_Id__c': 'Church_106'},True,3451,49
3450,Music and IT Director,,,2023-01-01,,Church_106,{'Adpdx_Migration_Id__c': '3275'},{'Adpdx_Migration_Id__c': 'Church_106'},True,3450,49
3449,Bulletin Editor,,,2023-01-01,,Church_26,{'Adpdx_Migration_Id__c': '3274'},{'Adpdx_Migration_Id__c': 'Church_26'},True,3449,49
3448,Business Manager,,,2023-01-01,,Church_116,{'Adpdx_Migration_Id__c': '3273'},{'Adpdx_Migration_Id__c': 'Church_116'},True,3448,49
3447,Director of Religious Education,,,2023-01-01,,Church_116,{'Adpdx_Migration_Id__c': '3272'},{'Adpdx_Migration_Id__c': 'Church_116'},True,3447,49
3446,Parish Secretary,,,2023-01-01,,Church_116,{'Adpdx_Migration_Id__c': '3272'},{'Adpdx_Migration_Id__c': 'Church_116'},True,3446,49
3445,Bookkeeper,,,2023-01-01,,Church_105,{'Adpdx_Migration_Id__c': '3271'},{'Adpdx_Migration_Id__c': 'Church_105'},True,3445,49
3444,Receptionist,,,2023-01-01,,Church_68,{'Adpdx_Migration_Id__c': '3270'},{'Adpdx_Migration_Id__c': 'Church_68'},True,3444,49
3443,Pastoral Associate,,,2023-01-01,,Church_68,{'Adpdx_Migration_Id__c': '545'},{'Adpdx_Migration_Id__c': 'Church_68'},True,3443,49
3442,Coordinator of Religious Education,,,2023-01-01,,Church_34,{'Adpdx_Migration_Id__c': '3240'},{'Adpdx_Migration_Id__c': 'Church_34'},True,3442,49
3441,Office Assistant,,,2023-01-01,,Church_34,{'Adpdx_Migration_Id__c': '3241'},{'Adpdx_Migration_Id__c': 'Church_34'},True,3441,49
3440,Music Ministry Coordinator,,,2023-01-01,,Church_137,{'Adpdx_Migration_Id__c': '3269'},{'Adpdx_Migration_Id__c': 'Church_137'},True,3440,49
3439,Hispanic Ministry Coordinator,,,2023-01-01,,Church_137,{'Adpdx_Migration_Id__c': '3268'},{'Adpdx_Migration_Id__c': 'Church_137'},True,3439,49
3438,Administrative Assistant,,,2023-01-01,,Church_137,{'Adpdx_Migration_Id__c': '3267'},{'Adpdx_Migration_Id__c': 'Church_137'},True,3438,49
3437,Director of Youth Ministry & Formation,,,2023-01-01,,Church_137,{'Adpdx_Migration_Id__c': '3266'},{'Adpdx_Migration_Id__c': 'Church_137'},True,3437,49
3436,Parish Center Support,,,2022-01-01,,Church_33,{'Adpdx_Migration_Id__c': '3265'},{'Adpdx_Migration_Id__c': 'Church_33'},True,3436,49
3435,Capital Campaign & Parish Administrator,,,2023-01-01,,Church_33,{'Adpdx_Migration_Id__c': '1688'},{'Adpdx_Migration_Id__c': 'Church_33'},True,3435,49
3434,Administrative Assistant,,,2023-01-01,,Church_14,{'Adpdx_Migration_Id__c': '3264'},{'Adpdx_Migration_Id__c': 'Church_14'},True,3434,49
3433,Administrative Assistant,,,2023-01-01,,Church_104,{'Adpdx_Migration_Id__c': '3263'},{'Adpdx_Migration_Id__c': 'Church_104'},True,3433,49
3431,Religious Education Coordinator,,,2023-01-01,,Church_19,{'Adpdx_Migration_Id__c': '3262'},{'Adpdx_Migration_Id__c': 'Church_19'},True,3431,49
3430,Maintenance,,,2023-01-01,,Church_19,{'Adpdx_Migration_Id__c': '3261'},{'Adpdx_Migration_Id__c': 'Church_19'},True,3430,49
3429,Campus Ministry Coordinator,,,2023-01-01,,Church_103,{'Adpdx_Migration_Id__c': '3260'},{'Adpdx_Migration_Id__c': 'Church_103'},True,3429,49
3428,Young Adult Coordinator,,,2023-01-01,,Church_103,{'Adpdx_Migration_Id__c': '3259'},{'Adpdx_Migration_Id__c': 'Church_103'},True,3428,49
3427,Alpha and Adult Confirmation Coordinator,,,2023-01-01,,Church_103,{'Adpdx_Migration_Id__c': '3258'},{'Adpdx_Migration_Id__c': 'Church_103'},True,3427,49
3426,Youth Ministry,,,2023-01-01,,Church_46,{'Adpdx_Migration_Id__c': '3257'},{'Adpdx_Migration_Id__c': 'Church_46'},True,3426,49
3425,Facilities Maintenance,,,2023-01-01,,Church_46,{'Adpdx_Migration_Id__c': '3256'},{'Adpdx_Migration_Id__c': 'Church_46'},True,3425,49
3424,Administrative Assistant for Ministry,,,2023-01-01,,Church_46,{'Adpdx_Migration_Id__c': '3255'},{'Adpdx_Migration_Id__c': 'Church_46'},True,3424,49
3423,Parish Secretary,,,2023-01-01,,Church_46,{'Adpdx_Migration_Id__c': '3254'},{'Adpdx_Migration_Id__c': 'Church_46'},True,3423,49
3422,Bookkeeper,,,2023-01-01,,Church_118,{'Adpdx_Migration_Id__c': '3253'},{'Adpdx_Migration_Id__c': 'Church_118'},True,3422,49
3421,Administrative Assistant,,,2023-01-01,,Church_133,{'Adpdx_Migration_Id__c': '3252'},{'Adpdx_Migration_Id__c': 'Church_133'},True,3421,49
3420,Custodian,,,2023-01-01,,Church_65,{'Adpdx_Migration_Id__c': '3251'},{'Adpdx_Migration_Id__c': 'Church_65'},True,3420,49
3419,Director of Music,,,2023-01-01,,Church_65,{'Adpdx_Migration_Id__c': '3250'},{'Adpdx_Migration_Id__c': 'Church_65'},True,3419,49
3418,Front Office Administrator,,,2023-01-01,,Church_65,{'Adpdx_Migration_Id__c': '3249'},{'Adpdx_Migration_Id__c': 'Church_65'},True,3418,49
3417,Business Manaager,,,2023-01-01,,Church_32,{'Adpdx_Migration_Id__c': '3248'},{'Adpdx_Migration_Id__c': 'Church_32'},True,3417,49
3416,Bookkeeper,,,2023-01-01,,Church_23,{'Adpdx_Migration_Id__c': '1769'},{'Adpdx_Migration_Id__c': 'Church_23'},True,3416,49
3415,Business Manager,,,2023-01-01,,Church_23,{'Adpdx_Migration_Id__c': '3247'},{'Adpdx_Migration_Id__c': 'Church_23'},True,3415,49
3414,Administrative Assistant,,,2023-01-01,,Church_23,{'Adpdx_Migration_Id__c': '3246'},{'Adpdx_Migration_Id__c': 'Church_23'},True,3414,49
3413,Hispanic Ministry Coordinator,,,2023-01-01,,Church_23,{'Adpdx_Migration_Id__c': '3245'},{'Adpdx_Migration_Id__c': 'Church_23'},True,3413,49
3412,Youth Minister,,,2023-01-01,,Church_23,{'Adpdx_Migration_Id__c': '3244'},{'Adpdx_Migration_Id__c': 'Church_23'},True,3412,49
3411,Pastoral Associate,,,2023-01-01,,Church_23,{'Adpdx_Migration_Id__c': '3243'},{'Adpdx_Migration_Id__c': 'Church_23'},True,3411,49
3410,Latino Ministry Coordinator,,,2023-01-01,,Church_31,{'Adpdx_Migration_Id__c': '3242'},{'Adpdx_Migration_Id__c': 'Church_31'},True,3410,49
3409,Office Assistant,,,2023-01-01,,Church_31,{'Adpdx_Migration_Id__c': '3241'},{'Adpdx_Migration_Id__c': 'Church_31'},True,3409,49
3408,Coordinator of Religious Education,,,2023-01-01,,Church_31,{'Adpdx_Migration_Id__c': '3240'},{'Adpdx_Migration_Id__c': 'Church_31'},True,3408,49
3407,Cantor,,,2023-01-01,,Church_30,{'Adpdx_Migration_Id__c': '3239'},{'Adpdx_Migration_Id__c': 'Church_30'},True,3407,49
3406,Pianist,,,2023-01-01,,Church_30,{'Adpdx_Migration_Id__c': '3238'},{'Adpdx_Migration_Id__c': 'Church_30'},True,3406,49
3405,Business Manager,,,2023-01-01,,Church_100,{'Adpdx_Migration_Id__c': '2907'},{'Adpdx_Migration_Id__c': 'Church_100'},True,3405,49
3404,Religious Education Coordinator,,,,,Church_125,{'Adpdx_Migration_Id__c': '1935'},{'Adpdx_Migration_Id__c': 'Church_125'},True,3404,49
3403,Administrative Assistant,,,2023-01-01,,Church_155,{'Adpdx_Migration_Id__c': '3237'},{'Adpdx_Migration_Id__c': 'Church_155'},True,3403,49
3402,Director of Religious Education,,,2023-01-01,,Church_155,{'Adpdx_Migration_Id__c': '3236'},{'Adpdx_Migration_Id__c': 'Church_155'},True,3402,49
3401,Facilities & Maintenance Coordinator,,,2023-01-01,,Church_62,{'Adpdx_Migration_Id__c': '3235'},{'Adpdx_Migration_Id__c': 'Church_62'},True,3401,49
3400,Pastoral Assistant,,,2023-01-01,,Church_62,{'Adpdx_Migration_Id__c': '3234'},{'Adpdx_Migration_Id__c': 'Church_62'},True,3400,49
3399,Parish Office Manager,,,2023-01-01,,Church_62,{'Adpdx_Migration_Id__c': '3233'},{'Adpdx_Migration_Id__c': 'Church_62'},True,3399,49
3398,Youth Ministry,,,2023-01-01,,Church_73,{'Adpdx_Migration_Id__c': '3232'},{'Adpdx_Migration_Id__c': 'Church_73'},True,3398,49
3397,Business Manager,,,2023-01-01,,Church_73,{'Adpdx_Migration_Id__c': '3231'},{'Adpdx_Migration_Id__c': 'Church_73'},True,3397,49
3396,Sacramental Prep Coordinator,,,2023-01-01,,Church_98,{'Adpdx_Migration_Id__c': '3230'},{'Adpdx_Migration_Id__c': 'Church_98'},True,3396,49
3395,Parish Administrative Assistant,,,2023-01-01,,Church_98,{'Adpdx_Migration_Id__c': '3229'},{'Adpdx_Migration_Id__c': 'Church_98'},True,3395,49
3393,Bookkeeper,,,2023-01-01,,Church_63,{'Adpdx_Migration_Id__c': '3228'},{'Adpdx_Migration_Id__c': 'Church_63'},True,3393,49
3392,Pastoral Associate,,,2023-01-01,,Church_63,{'Adpdx_Migration_Id__c': '3227'},{'Adpdx_Migration_Id__c': 'Church_63'},True,3392,49
3391,Hispanic Ministrry,,,2023-01-01,,Church_63,{'Adpdx_Migration_Id__c': '3226'},{'Adpdx_Migration_Id__c': 'Church_63'},True,3391,49
3390,Facilities Supervisor & Coordinator,,,2023-01-01,,Church_58,{'Adpdx_Migration_Id__c': '3225'},{'Adpdx_Migration_Id__c': 'Church_58'},True,3390,49
3389,Business Manager,,,2023-01-01,,Church_58,{'Adpdx_Migration_Id__c': '3224'},{'Adpdx_Migration_Id__c': 'Church_58'},True,3389,49
3388,Religious Education Coordinator,,,2023-01-01,,Church_44,{'Adpdx_Migration_Id__c': '3223'},{'Adpdx_Migration_Id__c': 'Church_44'},True,3388,49
3387,Music Director,,,2023-01-01,,Church_44,{'Adpdx_Migration_Id__c': '3222'},{'Adpdx_Migration_Id__c': 'Church_44'},True,3387,49
3386,Discipleship Coordinator,,,2023-12-10,,Church_109,{'Adpdx_Migration_Id__c': '3221'},{'Adpdx_Migration_Id__c': 'Church_109'},True,3386,49
3385,Office Manager/Bookkeeper,,,2023-01-01,,Church_52,{'Adpdx_Migration_Id__c': '3220'},{'Adpdx_Migration_Id__c': 'Church_52'},True,3385,49
3384,Administrative Assistant-Bookkeeper,,,2023-01-01,,Church_122,{'Adpdx_Migration_Id__c': '3219'},{'Adpdx_Migration_Id__c': 'Church_122'},True,3384,49
3383,Religious Education Coordinator,,,2023-01-01,,Church_120,{'Adpdx_Migration_Id__c': '3218'},{'Adpdx_Migration_Id__c': 'Church_120'},True,3383,49
3382,Religious Education Coordinator,,,2023-01-01,,Church_143,{'Adpdx_Migration_Id__c': '3218'},{'Adpdx_Migration_Id__c': 'Church_143'},True,3382,49
3381,Music Coordinator,,,2023-01-01,,Church_135,{'Adpdx_Migration_Id__c': '3217'},{'Adpdx_Migration_Id__c': 'Church_135'},True,3381,49
3380,Faith Formation Catechist,,,2023-01-01,,Church_135,{'Adpdx_Migration_Id__c': '3216'},{'Adpdx_Migration_Id__c': 'Church_135'},True,3380,49
3379,Faith Formation Coordinator,,,2023-01-01,,Church_135,{'Adpdx_Migration_Id__c': '3215'},{'Adpdx_Migration_Id__c': 'Church_135'},True,3379,49
3378,Business Manager/Social Action Coordinator,,,2023-01-01,,Church_135,{'Adpdx_Migration_Id__c': '3214'},{'Adpdx_Migration_Id__c': 'Church_135'},True,3378,49
3377,Pastoral Ministry Assistant,,,2023-01-01,,Church_121,{'Adpdx_Migration_Id__c': '3212'},{'Adpdx_Migration_Id__c': 'Church_121'},True,3377,49
3376,Pastoral Associate,,,2023-01-01,,Church_121,{'Adpdx_Migration_Id__c': '3211'},{'Adpdx_Migration_Id__c': 'Church_121'},True,3376,49
3375,Pastoral Assistant,,,2023-01-01,,Church_94,{'Adpdx_Migration_Id__c': '3213'},{'Adpdx_Migration_Id__c': 'Church_94'},True,3375,49
3374,Religious Education: Grade Pre-K-5 & Pastoral Ministry Assistant,,,2023-01-01,,Church_71,{'Adpdx_Migration_Id__c': '3212'},{'Adpdx_Migration_Id__c': 'Church_71'},True,3374,49
3373,Pastoral Associate,,,2023-01-01,,Church_71,{'Adpdx_Migration_Id__c': '3211'},{'Adpdx_Migration_Id__c': 'Church_71'},True,3373,49
3372,Bulletin,,,2023-01-01,,Church_55,{'Adpdx_Migration_Id__c': '3210'},{'Adpdx_Migration_Id__c': 'Church_55'},True,3372,49
3371,Accompanist,,,2023-01-01,,Church_55,{'Adpdx_Migration_Id__c': '3209'},{'Adpdx_Migration_Id__c': 'Church_55'},True,3371,49
3370,Maintenance,,,2023-01-01,,Church_55,{'Adpdx_Migration_Id__c': '3208'},{'Adpdx_Migration_Id__c': 'Church_55'},True,3370,49
3369,Religious Education Coordinator,,,2023-01-01,,Church_55,{'Adpdx_Migration_Id__c': '3207'},{'Adpdx_Migration_Id__c': 'Church_55'},True,3369,49
3368,Office Manager,,,2023-01-01,,Church_55,{'Adpdx_Migration_Id__c': '3206'},{'Adpdx_Migration_Id__c': 'Church_55'},True,3368,49
3367,Office Assistant,,,2023-01-01,,Church_153,{'Adpdx_Migration_Id__c': '3205'},{'Adpdx_Migration_Id__c': 'Church_153'},True,3367,49
3366,Faith Formation Coordinator,,,2023-01-01,,Church_153,{'Adpdx_Migration_Id__c': '3204'},{'Adpdx_Migration_Id__c': 'Church_153'},True,3366,49
3365,Preschool Office Manager,,,2023-01-01,,Church_93,{'Adpdx_Migration_Id__c': '3203'},{'Adpdx_Migration_Id__c': 'Church_93'},True,3365,49
3364,Youth & Young Adult Ministry,,,2023-01-01,,Church_11,{'Adpdx_Migration_Id__c': '3202'},{'Adpdx_Migration_Id__c': 'Church_11'},True,3364,49
3363,Hispanic Ministry Coordinator,,,2023-01-01,,Church_11,{'Adpdx_Migration_Id__c': '3201'},{'Adpdx_Migration_Id__c': 'Church_11'},True,3363,49
3362,Business Manager,,,2023-01-01,,Church_11,{'Adpdx_Migration_Id__c': '3200'},{'Adpdx_Migration_Id__c': 'Church_11'},True,3362,49
3361,Office Coordinator,,,2023-01-01,,Church_11,{'Adpdx_Migration_Id__c': '3199'},{'Adpdx_Migration_Id__c': 'Church_11'},True,3361,49
3360,Bookkeeper,,,2023-01-01,,Church_148,{'Adpdx_Migration_Id__c': '3198'},{'Adpdx_Migration_Id__c': 'Church_148'},True,3360,49
3359,Music Director,,,2023-01-01,,Church_148,{'Adpdx_Migration_Id__c': '3197'},{'Adpdx_Migration_Id__c': 'Church_148'},True,3359,49
3358,Office Administrator,,,2023-01-01,,Church_148,{'Adpdx_Migration_Id__c': '3196'},{'Adpdx_Migration_Id__c': 'Church_148'},True,3358,49
3357,Parochial Vicar,True,,2021-09-15,,Church_148,{'Adpdx_Migration_Id__c': '2757'},{'Adpdx_Migration_Id__c': 'Church_148'},True,3357,49
3356,Parish Treasurer,,,,,Church_129,{'Adpdx_Migration_Id__c': '3195'},{'Adpdx_Migration_Id__c': 'Church_129'},True,3356,49
3355,Maintenance,,,2023-01-01,,Church_145,{'Adpdx_Migration_Id__c': '3194'},{'Adpdx_Migration_Id__c': 'Church_145'},True,3355,49
3354,Maintenance,,,2023-01-01,,Church_145,{'Adpdx_Migration_Id__c': '372'},{'Adpdx_Migration_Id__c': 'Church_145'},True,3354,49
3353,Maintenance,,,2023-01-01,,Church_145,{'Adpdx_Migration_Id__c': '3193'},{'Adpdx_Migration_Id__c': 'Church_145'},True,3353,49
3352,Interim Music Ministry,,,2023-01-01,,Church_145,{'Adpdx_Migration_Id__c': '2332'},{'Adpdx_Migration_Id__c': 'Church_145'},True,3352,49
3351,Executive Director of Development,,,2023-01-01,,Church_145,{'Adpdx_Migration_Id__c': '2261'},{'Adpdx_Migration_Id__c': 'Church_145'},True,3351,49
3350,In Residence,True,Full Time,2023-11-04,,Religious_4,{'Adpdx_Migration_Id__c': '2407'},{'Adpdx_Migration_Id__c': 'Religious_4'},True,3350,49
3349,In Residence,True,Full Time,2023-10-28,,Religious_2,{'Adpdx_Migration_Id__c': '3023'},{'Adpdx_Migration_Id__c': 'Religious_2'},True,3349,49
3348,In Residence,True,Full Time,2023-10-28,,Religious_2,{'Adpdx_Migration_Id__c': '3022'},{'Adpdx_Migration_Id__c': 'Religious_2'},True,3348,49
3347,Campus/Youth Minister | M.S. Religion,,,2023-01-01,,Church_145,{'Adpdx_Migration_Id__c': '3192'},{'Adpdx_Migration_Id__c': 'Church_145'},True,3347,49
3346,Religious Education,,,2023-01-01,,Church_37,{'Adpdx_Migration_Id__c': '3191'},{'Adpdx_Migration_Id__c': 'Church_37'},True,3346,49
3345,Bookkeeper,,,2023-01-01,,Church_42,{'Adpdx_Migration_Id__c': '3190'},{'Adpdx_Migration_Id__c': 'Church_42'},True,3345,49
3344,Bookkeeper,,,2023-01-01,,Church_42,{'Adpdx_Migration_Id__c': '3189'},{'Adpdx_Migration_Id__c': 'Church_42'},True,3344,49
3343,Administrative Assistant,,,2023-01-01,,Church_42,{'Adpdx_Migration_Id__c': '3188'},{'Adpdx_Migration_Id__c': 'Church_42'},True,3343,49
3342,Administrative Assistant,,,2023-01-01,,Church_42,{'Adpdx_Migration_Id__c': '3187'},{'Adpdx_Migration_Id__c': 'Church_42'},True,3342,49
3341,Coordinator of Music Ministry,,,2023-01-01,,Church_42,{'Adpdx_Migration_Id__c': '3186'},{'Adpdx_Migration_Id__c': 'Church_42'},True,3341,49
3340,Coordinator of Mission and Outreach,,,2023-01-01,,Church_88,{'Adpdx_Migration_Id__c': '3185'},{'Adpdx_Migration_Id__c': 'Church_88'},True,3340,49
