RecordNumber,mbfc__Register_Entry_Type__c,mbfc__Type__c,mbfc__Notation_Type__c,mbfc__Ordination_Type__c,Date,Place,Prelate,mbfc__Matrimonial_Wife__c
756,Notation,,Notice of Holy Orders,Presbyteral,2013-06-08,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
148,Notation,,Proof of Baptism,,1936-03-12,"St. Boniface Catholic Church, Sublimity OR",,
148,Notation,,Notice of Matrimony,,1958-05-31,,,19
148,Notation,,Notice of Holy Orders,Diaconate,1997-11-29,"Cathedral of the Immaculate Conception, Portland, OR",,
148,Notation,,Notice of Holy Orders,Minor Order: Reader,1996-11-03,,,
148,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1996-11-03,,,
148,Notation,,Notice of Holy Orders,Installation: Candidate,1997-07-12,,,
817,Notation,,Notice of Holy Orders,Presbyteral,1963-02-17,Holy Cross,,
256,Notation,,Notice of Holy Orders,Minor Order: Reader,2001-09-08,,,
256,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2001-09-08,,,
256,Notation,,Notice of Holy Orders,Installation: Candidate,2001-09-08,,,
3052,Notation,,Notice of Holy Orders,Presbyteral,2014-06-07,"Sante Fe, NM",Most Rev. Michael Jarbo Sheehan,
1599,Notation,,Notice of Holy Orders,Diaconate,2005-08-07,"Holy Hill, Hubertus, WI",,
1599,Notation,,Notice of Holy Orders,Presbyteral,2006-06-24,"St. Florian Church, West Milwaukee, WI",,
676,Notation,,Notice of Holy Orders,Presbyteral,1999-06-12,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
426,Notation,,Proof of Baptism,,1958-01-19,"Zion Lutheran Church, Pittsburgh, PA",,
426,Notation,,Notice of Matrimony,,1991-12-20,,,0
677,Notation,,Notice of Holy Orders,Presbyteral,1968-05-18,"Portland, OR",Most Rev. Robert J. Dwyer,
3405,Notation,,Notice of Matrimony,,2013-04-20,,,0
1553,Notation,,Proof of Baptism,,1999-01-10,"St. Mary’s Catholic Church, Mount Angel, OR",,
1553,Notation,,Notice of Confirmation,,2007-05-06,,,
2052,Notation,,Proof of Baptism,,1984-03-18,"St. Philomeme’s, Sacramento, CA",,
2052,Notation,,Notice of Holy Orders,Diaconate,2019-09-21,"St. Ignatius Church, Chestnut Hill, MA",,
2052,Notation,,Notice of Holy Orders,Presbyteral,2020-07-11,,,
876,Notation,,Notice of Holy Orders,Presbyteral,2010-06-05,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
757,Notation,,Notice of Holy Orders,Presbyteral,1980-05-31,"Santa Maria, CA",Most Rev. Thaddeus Shubsda,
455,Notation,,Notice of Holy Orders,Diaconate,1996-09-07,,,
626,Notation,,Notice of Holy Orders,Presbyteral,1950-03-25,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Edward D. Howard,
159,Notation,,Proof of Baptism,,1948-06-20,"St. Margaret Mary Parish, Chicago IL",,
159,Notation,,Notice of Matrimony,,1970-07-11,,,153
159,Notation,,Notice of Holy Orders,Diaconate,2007-11-03,"Cathedral of the Immaculate Conception, Portland, OR",,
159,Notation,,Notice of Holy Orders,Minor Order: Reader,2004-03-20,,,
159,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2004-12-18,,,
159,Notation,,Notice of Holy Orders,Installation: Candidate,2006-12-09,,,
3053,Notation,,Proof of Baptism,,1994-11-26,"St. Patrick Gannon Univeristy Chapel, Erie, PA",,
585,Notation,,Notice of Holy Orders,Presbyteral,1974-06-29,"St. James Cathedral, Seattle, WA",Most Rev. Thomas J. Connolly,
634,Notation,,Notice of Holy Orders,Presbyteral,2015-06-05,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
169,Notation,,Proof of Baptism,,1950-01-22,"St. James, Wyoming OH",,
169,Notation,,Notice of Matrimony,,1977-08-20,,,25
169,Notation,,Notice of Holy Orders,Diaconate,1996-06-15,"Cathedral of the Blessed Sacrament, Sacramento CA",,
169,Notation,,Notice of Holy Orders,Minor Order: Reader,1994-04-10,,,
169,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1994-12-11,,,
169,Notation,,Notice of Holy Orders,Installation: Candidate,1995-09-17,,,
3109,Notation,,Proof of Baptism,,1989-03-26,"Sacred Heart Parish, Medford, OR",,
3109,Notation,,Notice of Matrimony,,1994-06-18,"St. Anthony Parish, Tigard, OR",,0
383,Notation,,Proof of Baptism,,1958-03-02,"St. Anselm, Tooting Bec, London, England",,
383,Notation,,Notice of Holy Orders,Presbyteral,1997-03-08,"St. Anselm, Tooting Bec, London",Most Rev. Michael Bowen,
818,Notation,,Notice of Holy Orders,Presbyteral,1984-05-04,Servites,,
215,Notation,,Proof of Baptism,,1939-03-05,"St. Rose of Lima, Portland OR",,
215,Notation,,Notice of Matrimony,,1962-05-26,,,58
215,Notation,,Notice of Holy Orders,Diaconate,2006-12-09,"Cathedral of the Immaculate Conception, Portland, OR",,
215,Notation,,Notice of Holy Orders,Minor Order: Reader,2002-10-26,,,
215,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2002-10-26,,,
215,Notation,,Notice of Holy Orders,Installation: Candidate,2005-11-05,,,
3115,Notation,,Proof of Baptism,,1961-05-10,"La Purisima Concepcion, Nogales, Sonora Mexico",,
3115,Notation,,Notice of Holy Orders,Presbyteral,1992-06-06,"St. Augustine Church, Oakland, CA","Most Rev. John S. Cummins, Bishop of Oakland",
7,Notation,,Notice of Matrimony,,1968-02-03,,,0
792,Notation,,Notice of Holy Orders,Diaconate,1976-04-29,"Pontifical North American College, Rome, Italy",,
792,Notation,,Notice of Holy Orders,Presbyteral,1977-09-24,"Holy Trinity, Beaverton",Most Rev. Cornelius M. Power,
320,Notation,,Proof of Baptism,,1990-02-23,"St. James Church, McMinnville OR",,
320,Notation,,Notice of Matrimony,,1990-02-23,,,268
320,Notation,,Notice of Holy Orders,Diaconate,2008-10-25,"Cathedral of the Immaculate Conception, Portland, OR",,
320,Notation,,Notice of Holy Orders,Minor Order: Reader,2004-12-18,,,
320,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2005-11-05,,,
320,Notation,,Notice of Holy Orders,Installation: Candidate,2007-11-03,,,
635,Notation,,Notice of Holy Orders,Diaconate,2013-05-18,"Cathedral of the Immaculate Conception, Portland, OR",,
635,Notation,,Notice of Holy Orders,Presbyteral,2014-06-06,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
635,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2011-02-17,,,
635,Notation,,Notice of Holy Orders,Installation: Candidate,2012-10-25,,,
297,Notation,,Proof of Baptism,,1948-09-26,"St. Mary’s Church, St. Clair MI",,
297,Notation,,Notice of Holy Orders,Diaconate,1988-05-21,"St. Mary’s Cathedral, Peoria IL",,
646,Notation,,Notice of Holy Orders,Presbyteral,2015-06-05,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
3481,Notation,,Proof of Baptism,,2002-10-06,"Due West UMC, Kennesaw, GA",,
678,Notation,,Notice of Holy Orders,Presbyteral,1956-05-19,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Edward D. Howard,
82,Notation,,Proof of Baptism,,1950-08-25,"Cathedral of the Immaculate Conception, Lake Charles LA",,
82,Notation,,Notice of Matrimony,,1973-12-27,,,109
82,Notation,,Notice of Holy Orders,Diaconate,2003-07-12,"Albuquerque Convention Center, Albuquerque NM",,
604,Notation,,Notice of Holy Orders,Presbyteral,1963-05-25,"Portland, OR",Most Rev. Edward D. Howard,
605,Notation,,Notice of Holy Orders,Diaconate,2006-05-20,"Cathedral of the Immaculate Conception, Portland, OR",,
605,Notation,,Notice of Holy Orders,Presbyteral,2007-06-09,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
428,Notation,,Notice of Confirmation,,1982-04-28,,,
428,Notation,,Notice of Profession of Faith,,1982-04-28,,,
428,Notation,,Notice of Matrimony,,1992-06-20,,,0
185,Notation,,Proof of Baptism,,1941-04-13,"St. Philip the Apostle, Pasadena CA",,
185,Notation,,Notice of Matrimony,,1969-06-21,,,281
185,Notation,,Notice of Holy Orders,Diaconate,1974-01-06,"St. Paul Parish, Silverton OR",,
185,Notation,,Notice of Holy Orders,Minor Order: Reader,1973-12-18,,,
185,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1973-12-18,,,
185,Notation,,Notice of Holy Orders,Installation: Candidate,1973-12-18,,,
647,Notation,,Notice of Holy Orders,Presbyteral,1957-07-25,Dominican,,
430,Notation,,Proof of Baptism,,1975-03-01,"Air Force Base, TX",,
430,Notation,,Notice of Matrimony,,1996-06-09,,,0
2306,Notation,,Notice of Holy Orders,Presbyteral,2012-10-13,,,
679,Notation,,Notice of Holy Orders,Presbyteral,1981-03-21,"St. Thomas Chaldean Church, Turlock, CA",Most Rev. Emmanuel Delhy,
2079,Notation,,Proof of Baptism,,1944-10-22,"St. Patrick Church, Tacoma, WA",,
2079,Notation,,Notice of Holy Orders,Presbyteral,1974-11-09,"Seattle, WA",,
2079,Notation,,Notice of Holy Orders,Minor Order: Reader,1968-05-14,,,
2079,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1968-05-15,,,
3425,Notation,,Notice of Holy Orders,Diaconate,2024-06-08,"Our Lady of the Angels Church, Kenai, Alaska",,
188,Notation,,Proof of Baptism,,1966-07-10,"Our Lady Queen of the Universe, Black Rock, Barbados West Indies",,
188,Notation,,Notice of Matrimony,,1994-08-13,,,227
188,Notation,,Notice of Holy Orders,Diaconate,2002-11-23,"Cathedral of the Immaculate Conception, Portland, OR",,
188,Notation,,Notice of Holy Orders,Minor Order: Reader,2001-09-08,,,
188,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2001-09-08,,,
188,Notation,,Notice of Holy Orders,Installation: Candidate,2001-09-08,,,
302,Notation,,Proof of Baptism,,1966-01-30,"St. John the Baptist, Milwaukie, OR",,
302,Notation,,Notice of Matrimony,,1977-08-30,,,0
844,Notation,,Proof of Baptism,,1953-05-17,"Cathedral of the Immaculate Conception, Crookston, MN",,
844,Notation,,Notice of Confirmation,,1961-04-01,,,
844,Notation,,Notice of Holy Orders,Diaconate,1982-04-03,"Holy Family Church, Grand Forks, ND",,
844,Notation,,Notice of Holy Orders,Presbyteral,1983-06-12,"St. Michael’s Church, Grand Forks, ND",Most Rev. Justin Driscoll,
524,Notation,,Notice of Holy Orders,Diaconate,2020-10-01,"St. Peter’s Basilica, Rome",,
524,Notation,,Notice of Holy Orders,Presbyteral,2022-06-25,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
524,Notation,,Notice of Holy Orders,Minor Order: Reader,2018-01-14,,,
524,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2013-12-15,,,
332,Notation,,Notice of Holy Orders,Presbyteral,1970-06-13,"St. Charles, Portland, OR",Most Rev. Robert J. Dwyer,
43,Notation,,Proof of Baptism,,1999-04-03,"Sacred Heart Catholic Church, Waianae HI",,
43,Notation,,Notice of Matrimony,,1980-03-29,,,0
2007,Notation,,Notice of Holy Orders,Presbyteral,2017-06-10,"Blessed Sacrament Church, Hollywood, CA",,
196,Notation,,Proof of Baptism,,1982-12-19,"St. Patrick Church, Canby OR",,
196,Notation,,Notice of Matrimony,,1980-01-05,,,274
196,Notation,,Notice of Holy Orders,Diaconate,2008-10-25,"Cathedral of the Immaculate Conception, Portland, OR",,
196,Notation,,Notice of Holy Orders,Minor Order: Reader,2004-12-18,,,
196,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2005-11-05,,,
196,Notation,,Notice of Holy Orders,Installation: Candidate,2007-11-03,,,
845,Notation,,Notice of Holy Orders,Diaconate,2013-10-30,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR",,
845,Notation,,Notice of Holy Orders,Presbyteral,2014-06-14,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR","Most Rev. Alexander K. Sample, J.C.L, D.D.",
1957,Notation,,Proof of Baptism,,1995-05-06,"St. Joseph, Salem, OR",,
1957,Notation,,Notice of Confirmation,,2009-04-23,"Immaculate Conception, Stayton, OR",,
680,Notation,,Notice of Holy Orders,Presbyteral,2012-06-09,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
2003,Notation,,Proof of Baptism,,1983-06-25,"Our Lady of Guadalupe Church, El Monte, CA",,
2003,Notation,,Notice of Holy Orders,Diaconate,2014-10-11,"Church of St. Ignatius of Loyola, Chestnut Hill, MA",,
2003,Notation,,Notice of Holy Orders,Presbyteral,2015-06-13,"Blessed Sacrament Church, Hollywood, CA",,
2003,Notation,,Notice of Holy Orders,Minor Order: Reader,2007-04-22,,,
2003,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2007-11-25,,,
2252,Notation,,Proof of Baptism,,2018-03-31,"St. Peter Catholic Church, Newburg, OR",,
2252,Notation,,Notice of Confirmation,,2018-03-31,"St. Peter Catholic Church, Newburg, OR",,
2252,Notation,,Notice of Holy Orders,Installation: Candidate,2023-10-18,,,
883,Notation,,Notice of Holy Orders,Presbyteral,2003-07-07,"St. Dominic’s Church, San Francisco, CA",Very Rev. William Cardinal Levada,
758,Notation,,Notice of Holy Orders,Presbyteral,1988-06-21,San Luis Potosi,,
819,Notation,,Notice of Holy Orders,Presbyteral,1970-08-15,"St. Peter, Eugene",Most Rev. Robert J. Dwyer,
2741,Notation,,Notice of Holy Orders,Presbyteral,2000-05-27,"Church of the Blessed Sacrament, Hollywood, CA",,
968,Notation,,Notice of Holy Orders,Presbyteral,1992-09-05,"St. Mary Cathedral of the Immaculate Conception, Portland, OR",Archbishop William J. Levada,
968,Notation,,Notice of Holy Orders,Episcopal,2012-05-18,,,
204,Notation,,Proof of Baptism,,1944-01-23,"Our Lady of the Lake, Lake Oswego OR",,
204,Notation,,Notice of Matrimony,,1990-09-08,,,163
204,Notation,,Notice of Holy Orders,Diaconate,2010-11-06,"Cathedral of the Immaculate Conception, Portland, OR",,
204,Notation,,Notice of Holy Orders,Minor Order: Reader,2007-11-03,,,
204,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2008-10-25,,,
204,Notation,,Notice of Holy Orders,Installation: Candidate,2009-10-31,,,
359,Notation,,Proof of Baptism,,1970-04-05,"Parroquia San Cayetano, Irapuato, Guanajuato, Mexico",,
359,Notation,,Notice of Matrimony,,1998-12-28,,,0
432,Notation,,Proof of Baptism,,1992-06-07,,,
432,Notation,,Notice of Matrimony,,1994-01-08,,,0
1930,Notation,,Proof of Baptism,,1977-07-10,"Capital Christian Center, Sacramento, California (Assemblies of God)",,
1930,Notation,,Notice of Confirmation,,1991-03-30,"Centerville Chapel, Augsburg, Germany",,
1930,Notation,,Notice of Profession of Faith,,1991-03-30,"Archdiocese for the Military Services, USA",,
1930,Notation,,Notice of Matrimony,,1995-10-21,"Fort McNair, Washington, DC",,2032
1930,Notation,,Notice of Holy Orders,Minor Order: Reader,2022-05-22,,,
1930,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2022-05-22,,,
12,Notation,,Proof of Baptism,,1962-03-14,"Parroquia de Santiago Apóstol, Sahuayo, Michoacan, Mexico",,
12,Notation,,Notice of Matrimony,,1993-10-09,,,199
12,Notation,,Notice of Holy Orders,Diaconate,2011-10-29,"Cathedral of the Immaculate Conception, Portland, OR",,
12,Notation,,Notice of Holy Orders,Minor Order: Reader,2009-10-31,,,
12,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2009-10-31,,,
12,Notation,,Notice of Holy Orders,Installation: Candidate,2010-11-06,,,
83,Notation,,Proof of Baptism,,1957-06-22,"Chapel, Dreux Air Base, France",,
83,Notation,,Notice of Matrimony,,1984-09-08,,,239
83,Notation,,Notice of Holy Orders,Diaconate,1993-11-05,"Cathedral of the Immaculate Conception, Portland, OR",,
