mbfc__Affiliation__c,adpdx_Archdiocesan_Assignment__c,mbfc__Duty_Load__c,mbfc__Start_Date__c,mbfc__Completion_Date__c,mbfc__Category__c,mbfc__Use_Custom_Title__c,mbfc__Custom_Title__c,mbfc__Context__c,mbfc__Person__c,Archdpdx_Migration_Id__c,Archdpdx_Job_Id__c
Summer Assignment,True,Full Time,2025-06-01,2025-08-31,Any All,True,Summer Assignment,001Ps00000l54fsIAA,003Ps00000frjt3IAA,3804,156
Benefits Specialist,False,,2025-04-14,,Any All,True,Benefits Specialist,001Ps00000l54frIAA,003Ps00000frkZvIAI,3803,156
Parish Support Accountant,False,,2025-04-07,,Any All,True,Parish Support Accountant,001Ps00000l54frIAA,003Ps00000frkfMIAQ,3802,156
Pastoral Year,True,Full Time,2025-05-01,,Any All,True,Pastoral Year,001Ps00000l54hJIAQ,003Ps00000frjmTIAQ,3801,156
Seminarian,True,Full Time,2025-05-01,,Any All,True,Seminarian,001Ps00000l54fzIAA,003Ps00000frjmTIAQ,3800,156
Oregon Catholic Directory,False,Part Time,2025-03-01,,Any All,True,Oregon Catholic Directory,001Ps00000l54frIAA,003Ps00000frknPIAQ,3799,156
Coordinator of Evangelization,False,,2023-01-01,,Any All,True,Coordinator of Evangelization,001Ps00000l54hKIAQ,003Ps00000frkbGIAQ,3798,156
Administrative Assistant,False,,2025-03-14,,Any All,True,Administrative Assistant,001Ps00000l54frIAA,003Ps00000frldOIAQ,3797,156
Director of Vocations,True,Full Time,2022-07-01,,Any All,True,Director of Vocations,001Ps00000l54fyIAA,003Ps00000frkncIAA,3796,156
"Manager, Parish Support Accountants",False,,2025-03-01,,Any All,True,"Manager, Parish Support Accountants",001Ps00000l54frIAA,003Ps00000frkhzIAA,3795,156
Director of Finance,False,,2025-03-01,,Any All,True,Director of Finance,001Ps00000l54frIAA,003Ps00000frkG6IAI,3794,156
Parochial Vicar,True,Full Time,2025-03-04,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54h2IAA,003Ps00000frjtpIAA,3791,156
Benefits Coordinator,False,,2025-03-11,2025-04-11,Any All,True,Benefits Coordinator,001Ps00000l54frIAA,003Ps00000frjmwIAA,3790,156
In Residence,True,Full Time,2025-02-25,,Any All,True,In Residence,001Ps00000l5eVsIAI,003Ps00000frkQeIAI,3789,156
Special Assignment,True,Full Time,2025-02-18,2025-06-30,Any All,True,Special Assignment,001Ps00000l54fyIAA,003Ps00000frkOBIAY,3788,156
Chaplain,True,Full Time,2014-09-08,2016-07-15,Pastoral Assignment,True,Chaplain,001Ps00000l54fuIAA,,3787,156
Parochial Vicar,True,Full Time,1994-07-01,1996-06-30,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54h0IAA,003Ps00000frjx2IAA,3786,156
Pastor,True,Full Time,1996-07-01,2011-06-30,Pastoral Assignment,True,Pastor,001Ps00000l5CTyIAM,003Ps00000frjx2IAA,3785,156
On Leave,True,Full Time,2010-07-23,2010-11-19,Any All,True,On Leave,001Ps00000l54fyIAA,003Ps00000frjx2IAA,3784,156
On Leave,True,Full Time,2011-07-01,2013-01-31,Any All,True,On Leave,001Ps00000l54fyIAA,003Ps00000frjx2IAA,3783,156
Administrator,True,Full Time,2013-02-01,2014-06-30,Pastoral Assignment,True,Administrator,001Ps00000l5CU5IAM,003Ps00000frjx2IAA,3782,156
Visiting Priest,True,Part Time,2025-01-16,2026-01-16,Any All,True,Visiting Priest,001Ps00000l5eV0IAI,003Ps00000frjqGIAQ,3781,156
Vicar General ad extra,True,Full Time,2025-01-01,,Any All,True,Vicar General ad extra,001Ps00000l54frIAA,003Ps00000frjjJIAQ,3780,156
On Leave,True,Full Time,2025-01-15,,Any All,True,On Leave,001Ps00000l54fyIAA,003Ps00000frlinIAA,3779,156
Executive Assistant,False,,2025-02-03,,Any All,True,Executive Assistant,001Ps00000l54frIAA,003Ps00000frkQgIAI,3778,156
On Leave,True,Full Time,2014-07-01,,Any All,True,On Leave,001Ps00000l54fyIAA,003Ps00000frjGtIAI,3776,156
In Residence,True,Full Time,2023-06-12,,Any All,True,In Residence,001Ps00000l5eVWIAY,003Ps00000frjpDIAQ,3775,156
In Residence,True,Full Time,2023-06-12,,Any All,True,In Residence,001Ps00000l5eVWIAY,003Ps00000frjzsIAA,3774,156
Administrator,False,,,,Pastoral Assignment,True,Administrator,001Ps00000l54fsIAA,003Ps00000frjzVIAQ,3773,156
Ecclesiastical Notary,True,Part Time,2025-01-16,,Any All,True,Ecclesiastical Notary,001Ps00000l54frIAA,003Ps00000frju8IAA,3772,156
Administrative Assistant,False,Full Time,2024-10-01,,Any All,True,Administrative Assistant,001Ps00000l5CUOIA2,003Ps00000frkFaIAI,3771,156
In Residence,True,Full Time,2025-01-05,,Any All,True,In Residence,001Ps00000l5eVsIAI,003Ps00000frkJ8IAI,3770,156
Vicar for Clergy,True,,2025-01-01,,Any All,True,Vicar for Clergy,001Ps00000l54frIAA,003Ps00000frkNXIAY,3769,156
Director of Communications,False,,2025-01-06,,Any All,True,Director of Communications,001Ps00000l54frIAA,003Ps00000frlccIAA,3768,156
Funeral Director/Embalmer Apprentice,False,,,,Any All,True,Funeral Director/Embalmer Apprentice,001Ps00000l54fsIAA,003Ps00000frjwjIAA,3767,156
Funeral Director/Embalmer Apprentice,False,,,,Any All,True,Funeral Director/Embalmer Apprentice,001Ps00000l54fsIAA,003Ps00000frkGNIAY,3766,156
Funeral Director/Embalmer,False,,,,Any All,True,Funeral Director/Embalmer,001Ps00000l54fsIAA,003Ps00000frkgHIAQ,3765,156
Memorial Expert,False,,,,Any All,True,Memorial Expert,001Ps00000l54fsIAA,003Ps00000frjp6IAA,3764,156
Accounting Clerk,False,,,,Any All,True,Accounting Clerk,001Ps00000l54fsIAA,003Ps00000frkCdIAI,3763,156
Cemetery Counselor,False,,2024-06-01,,Any All,True,Cemetery Counselor,001Ps00000l54fsIAA,003Ps00000frjh7IAA,3762,156
Secretary,False,,,,Any All,True,Secretary,001Ps00000l5CUZIA2,003Ps00000frlcMIAQ,3761,156
Faith Formation Coordinator,False,,,,Any All,True,Faith Formation Coordinator,001Ps00000l5CTtIAM,003Ps00000frjxOIAQ,3760,156
Bookkeeper,False,,,,Any All,True,Bookkeeper,001Ps00000l5CUgIAM,003Ps00000frjkWIAQ,3759,156
Pastoral Internship,True,Full Time,2024-08-01,2024-12-31,Any All,True,Pastoral Internship,001Ps00000l5CUNIA2,003Ps00000frktCIAQ,3758,156
Religious Education Coordinator,False,,,,Any All,True,Religious Education Coordinator,001Ps00000l54hHIAQ,003Ps00000frjwqIAA,3757,156
In Community - Syndic for Province,True,Full Time,2024-11-01,,Any All,True,In Community - Syndic for Province,001Ps00000l5eVrIAI,003Ps00000frjiQIAQ,3756,156
Maintenance,False,,,,Any All,True,Maintenance,001Ps00000l54h4IAA,003Ps00000frjNKIAY,3755,156
Accountant,False,,,,Any All,True,Accountant,001Ps00000l54h4IAA,003Ps00000frjNTIAY,3754,156
Administrative Assistant,False,,,,Any All,True,Administrative Assistant,001Ps00000l5CTxIAM,003Ps00000frlnbIAA,3753,156
Pastoral Associate,False,,,,Any All,True,Pastoral Associate,001Ps00000l5CUNIA2,003Ps00000frlYYIAY,3752,156
Music Director,False,,2024-12-01,,Any All,True,Music Director,001Ps00000l5CUNIA2,003Ps00000frk00IAA,3751,156
Parochial Vicar,True,Full Time,2025-01-03,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54grIAA,003Ps00000frjh8IAA,3750,156
Music Director,False,,,,Any All,True,Music Director,001Ps00000l5CV6IAM,003Ps00000frk7qIAA,3749,156
Music Director,False,,,,Any All,True,Music Director,001Ps00000l5CV6IAM,003Ps00000frjmiIAA,3748,156
Bookkeeper,False,,,,Any All,True,Bookkeeper,001Ps00000l5CV6IAM,003Ps00000frksyIAA,3747,156
Music Ministry Coordinator,False,,,,Any All,True,Music Ministry Coordinator,001Ps00000l5CUeIAM,003Ps00000frld5IAA,3746,156
Children's Faith Formation Coordinator,False,,,,Any All,True,Children's Faith Formation Coordinator,001Ps00000l5CUCIA2,003Ps00000frk0iIAA,3745,156
Office Specialist,False,,,,Any All,True,Office Specialist,001Ps00000l54gTIAQ,003Ps00000frk8IIAQ,3744,156
"Life Kids, Bridge & Life Teens Minister",False,,,,Any All,True,"Life Kids, Bridge & Life Teens Minister",001Ps00000l5CV4IAM,003Ps00000frkWqIAI,3743,156
"Life Kids, Bridge & Life Teens Minister",False,,,2024-12-19,Any All,True,"Life Kids, Bridge & Life Teens Minister",001Ps00000l54gVIAQ,003Ps00000frkWqIAI,3742,156
Custodian,False,,,,Any All,True,Custodian,001Ps00000l54hNIAQ,003Ps00000frjo7IAA,3741,156
Music Director,False,,,,Any All,True,Music Director,001Ps00000l54hNIAQ,003Ps00000frloUIAQ,3740,156
Facility Manager,False,,,,Any All,True,Facility Manager,001Ps00000l5CUwIAM,003Ps00000frkXYIAY,3739,156
Faith Formation and Sacramental Preparation,False,,,,Any All,True,Faith Formation and Sacramental Preparation,001Ps00000l5CULIA2,003Ps00000frjmXIAQ,3738,156
Bookkeeper,False,,,,Any All,True,Bookkeeper,001Ps00000l5CULIA2,003Ps00000frjhQIAQ,3737,156
Hispanic Ministry Assistant,False,,,,Any All,True,Hispanic Ministry Assistant,001Ps00000l5CTtIAM,003Ps00000frlWsIAI,3736,156
Accounts Receivable,False,,,,Any All,True,Accounts Receivable,001Ps00000l5CV2IAM,003Ps00000frkrpIAA,3735,156
Catholic Schools Endowment Foundation,False,,,,Any All,True,Catholic Schools Endowment Foundation,001Ps00000l54frIAA,003Ps00000frk7tIAA,3734,156
Vicar General and Moderator of the Curia,True,,2024-12-01,,Any All,True,Vicar General and Moderator of the Curia,001Ps00000l54frIAA,003Ps00000frkfyIAA,3733,156
Receptionist,False,,2024-03-01,,Any All,True,Receptionist,001Ps00000l54frIAA,003Ps00000frkpkIAA,3732,156
Coordinator of the Episcopal Office,True,,2024-07-01,,Any All,True,Coordinator of the Episcopal Office,001Ps00000l54frIAA,003Ps00000frkQxIAI,3731,156
Assistant to the Director of Divine Worship,True,,2024-07-01,,Any All,True,Assistant to the Director of Divine Worship,001Ps00000l54frIAA,003Ps00000frkQxIAI,3730,156
Business Manager,False,,,,Any All,True,Business Manager,001Ps00000l54giIAA,003Ps00000frkRYIAY,3729,156
Sacred Heart Cemetery Coordinator,False,,,,Any All,True,Sacred Heart Cemetery Coordinator,001Ps00000l54hCIAQ,003Ps00000frkXUIAY,3728,156
Funeral and Wedding Coordinator,False,,,,Any All,True,Funeral and Wedding Coordinator,001Ps00000l54hCIAQ,003Ps00000frjt5IAA,3727,156
Discipleship Coordinator,False,,,,Any All,True,Discipleship Coordinator,001Ps00000l5CUMIA2,003Ps00000frjilIAA,3726,156
Presbyteral Council Rep.,True,Part Time,2023-10-01,,Any All,True,Presbyteral Council Rep.,001Ps00000l4vMgIAI,003Ps00000frjNPIAY,3725,156
Presbyteral Council Consultor,True,Part Time,2025-01-01,,Any All,True,Presbyteral Council Consultor,001Ps00000l54fyIAA,003Ps00000frkNXIAY,3724,156
Presbyteral Council Consultor,True,Part Time,,,Any All,True,Presbyteral Council Consultor,001Ps00000l54fyIAA,003Ps00000frjjJIAQ,3723,156
Presbyteral Council Rep. Cohort IV,True,Part Time,2024-11-01,,Any All,True,Presbyteral Council Rep. Cohort IV,001Ps00000l54fyIAA,003Ps00000frko9IAA,3722,156
Presbyteral Council Rep.,True,Part Time,2024-12-01,,Any All,True,Presbyteral Council Rep.,001Ps00000l4vMcIAI,003Ps00000frjRzIAI,3721,156
Executive Assistant,False,,2024-12-02,,Any All,True,Executive Assistant,001Ps00000l54frIAA,003Ps00000frkrZIAQ,3719,156
Custodian,False,,,,Any All,True,Custodian,001Ps00000l5CVAIA2,003Ps00000frjvvIAA,3718,156
Maintenance,False,,,,Any All,True,Maintenance,001Ps00000l5CVAIA2,003Ps00000frjvwIAA,3717,156
Bookkeeper,False,,,,Any All,True,Bookkeeper,001Ps00000l5CVBIA2,003Ps00000frkC9IAI,3716,156
Custodian,False,,,,Any All,True,Custodian,001Ps00000l5CVBIA2,003Ps00000frksmIAA,3715,156
Business Manager,False,,,,Any All,True,Business Manager,001Ps00000l5CVBIA2,003Ps00000frjozIAA,3714,156
Deacon,True,,2024-11-15,,Pastoral Assignment,True,Deacon,001Ps00000l5CTwIAM,003Ps00000frkieIAA,3713,156
Parochial Vicar,True,Full Time,2024-12-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CUQIA2,003Ps00000frklfIAA,3712,156
Presbyteral Council Rep. Cohort II,True,Part Time,2024-11-01,,Any All,True,Presbyteral Council Rep. Cohort II,001Ps00000l54fyIAA,003Ps00000frkn7IAA,3711,156
Presbyteral Council Rep. Religiuos,True,Part Time,2024-10-01,,Any All,True,Presbyteral Council Rep. Religiuos,001Ps00000l54fyIAA,003Ps00000frjOuIAI,3710,156
Temporary Administrator,True,Full Time,2024-12-01,,Any All,True,Temporary Administrator,001Ps00000l5CV1IAM,003Ps00000frllYIAQ,3709,156
Temporary Administrator,True,Full Time,2024-12-01,,Any All,True,Temporary Administrator,001Ps00000l54gZIAQ,003Ps00000frllYIAQ,3708,156
In Residence,True,Part Time,2024-07-23,,Any All,True,In Residence,001Ps00000l5CU7IAM,003Ps00000frjzZIAQ,3707,156
Coordinator of Mission Outreach and Environment,False,,,,Any All,True,Coordinator of Mission Outreach and Environment,001Ps00000l5CU7IAM,003Ps00000frjpmIAA,3706,156
Coordinator of Music,False,,,,Any All,True,Coordinator of Music,001Ps00000l5CUhIAM,003Ps00000frkXWIAY,3705,156
Children's Faith and Sacramental Faith Formation,False,,,,Any All,True,Children's Faith and Sacramental Faith Formation,001Ps00000l5CUhIAM,003Ps00000frkRcIAI,3704,156
Parochial Vicar,True,Part Time,2024-10-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l5CV2IAM,003Ps00000frkQvIAI,3703,156
Deacon,True,,2024-10-18,,Pastoral Assignment,True,Deacon,001Ps00000l54giIAA,003Ps00000frkhwIAA,3702,156
Tertianship,False,Full Time,2024-10-01,2025-05-30,Any All,True,Tertianship,001Ps00000l5eUpIAI,003Ps00000frjkuIAA,3701,156
Tertianship,False,Full Time,2024-10-01,2025-05-30,Any All,True,Tertianship,001Ps00000l5eUpIAI,003Ps00000frjOxIAI,3700,156
Tertianship,False,Full Time,2024-10-15,2025-05-30,Any All,True,Tertianship,001Ps00000l5eUpIAI,003Ps00000frlWUIAY,3699,156
Continuing Education Board Rep. Cohort I,True,Part Time,2024-10-01,,Any All,True,Continuing Education Board Rep. Cohort I,001Ps00000l54fyIAA,003Ps00000frjz9IAA,3698,156
Clergy Personnel Board Cohort III Rep.,True,Part Time,2024-10-01,,Any All,True,Clergy Personnel Board Cohort III Rep.,001Ps00000l54fyIAA,003Ps00000frkZyIAI,3696,156
Clergy Personnel Board Cohort II Rep.,True,Part Time,2024-10-01,,Any All,True,Clergy Personnel Board Cohort II Rep.,001Ps00000l54fyIAA,003Ps00000frkm9IAA,3694,156
Clergy Personnel Board - Vicar General,True,Part Time,2024-12-01,,Any All,True,Clergy Personnel Board - Vicar General,001Ps00000l54fyIAA,003Ps00000frkfyIAA,3693,156
Clergy Personnel Board - Vicar for Clergy,True,Part Time,2025-01-01,,Any All,True,Clergy Personnel Board - Vicar for Clergy,001Ps00000l54fyIAA,003Ps00000frkNXIAY,3692,156
Clergy Personnel Board - Vocations Director,True,Part Time,2022-07-01,,Any All,True,Clergy Personnel Board - Vocations Director,001Ps00000l54fyIAA,003Ps00000frkncIAA,3691,156
Superior,False,Part Time,2024-11-01,,Any All,True,Superior,001Ps00000l5eVrIAI,003Ps00000frkrXIAQ,3690,156
Pastor,False,Full Time,2024-11-01,,Pastoral Assignment,True,Pastor,001Ps00000l5CVDIA2,003Ps00000frkrXIAQ,3689,156
Transitional Deacon,True,Full Time,2024-10-19,,Any All,True,Transitional Deacon,001Ps00000l54hHIAQ,,3688,156
Cohort IV Rep. Cont. Ed. Board,True,Part Time,2024-10-01,,Any All,True,Cohort IV Rep. Cont. Ed. Board,001Ps00000l54fyIAA,003Ps00000frlkZIAQ,3687,156
Tertianship,False,Full Time,2024-10-15,2025-05-01,Any All,True,Tertianship,001Ps00000l5eUpIAI,003Ps00000frkmJIAQ,3686,156
Vicar Forane,True,Part Time,2024-10-01,2027-09-30,Pastoral Assignment,True,Vicar Forane,001Ps00000l4vMSIAY,003Ps00000frkaDIAQ,3685,156
Presbyteral Council: Consultor,True,Part Time,2022-03-05,2027-03-05,Any All,True,Presbyteral Council: Consultor,001Ps00000l54fyIAA,003Ps00000frkezIAA,3684,156
Presbyteral Council Rep.,True,Part Time,2024-10-01,,Any All,True,Presbyteral Council Rep.,001Ps00000l4vMVIAY,003Ps00000frlcRIAQ,3683,156
Vicar Forane,True,Part Time,2024-10-01,,Pastoral Assignment,True,Vicar Forane,001Ps00000l4vMVIAY,003Ps00000frjsfIAA,3682,156
MAS Pastoral Assignment,True,Part Time,2024-09-18,2025-05-30,Any All,True,MAS Pastoral Assignment,001Ps00000l5CUSIA2,,3681,156
MAS Pastoral Assignment,True,Part Time,2024-09-18,2025-05-30,Any All,True,MAS Pastoral Assignment,001Ps00000l5CUjIAM,,3680,156
MAS Pastoral Assignment,True,Part Time,2024-09-17,2025-05-30,Any All,True,MAS Pastoral Assignment,001Ps00000l54gPIAQ,,3679,156
MAS Assignment,True,Part Time,2024-09-17,2025-05-30,Any All,True,MAS Assignment,001Ps00000l54hBIAQ,,3678,156
Spiritual Director,False,Full Time,2024-10-15,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eUpIAI,003Ps00000frkiDIAQ,3677,156
Spiritual Director,False,Part Time,2024-09-12,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eDgIAI,,3676,156
Spiritual Director,False,Part Time,2024-09-12,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eDgIAI,003Ps00000frldYIAQ,3675,156
Spiritual Director,False,Part Time,2024-09-12,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eDgIAI,003Ps00000frju9IAA,3674,156
Spiritual Director,False,Part Time,2024-09-12,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eDgIAI,003Ps00000frknjIAA,3673,156
Spiritual Director,False,Part Time,2024-09-12,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eDgIAI,003Ps00000frkX7IAI,3672,156
Spiritual Director,False,Part Time,2024-09-12,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eDgIAI,003Ps00000frjKJIAY,3671,156
Spiritual Director,False,Part Time,2024-09-12,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eDgIAI,003Ps00000frjzTIAQ,3670,156
Spiritual Director,False,Part Time,2024-09-12,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eDgIAI,003Ps00000frjktIAA,3669,156
Spiritual Director,False,Part Time,2024-09-12,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eDgIAI,003Ps00000frkXxIAI,3668,156
Spiritual Director,False,Part Time,2024-09-12,2025-05-30,Any All,True,Spiritual Director,001Ps00000l5eDgIAI,003Ps00000frkX8IAI,3667,156
Pastoral Year,True,Full Time,2024-08-15,2025-06-30,Any All,True,Pastoral Year,001Ps00000l5CUJIA2,003Ps00000frkjAIAQ,3665,156
Diaconate Office Volunteer,True,,2024-08-24,,Any All,True,Diaconate Office Volunteer,001Ps00000l54g4IAA,003Ps00000frju4IAA,3664,156
Administrator,True,Full Time,2024-09-01,,Pastoral Assignment,True,Administrator,001Ps00000l5CUZIA2,003Ps00000frjsrIAA,3663,156
On Leave,True,Full Time,2024-09-23,2025-06-30,Any All,True,On Leave,001Ps00000l54fyIAA,003Ps00000frkZnIAI,3662,156
On Leave,True,Full Time,2024-09-09,2025-06-30,Any All,True,On Leave,001Ps00000l54fyIAA,003Ps00000frkD4IAI,3661,156
Assistant Director of Catholic Education,False,,2024-08-19,,Any All,True,Assistant Director of Catholic Education,001Ps00000l54frIAA,003Ps00000frjqsIAA,3660,156
Presbyteral Council Rep.,True,Full Time,2024-08-01,,Any All,True,Presbyteral Council Rep.,001Ps00000l4vMYIAY,,3659,156
Provincial Assistant for Formation,False,Full Time,2024-09-03,,Any All,True,Provincial Assistant for Formation,001Ps00000l5eVYIAY,003Ps00000frkiYIAQ,3658,156
Tertian,False,Full Time,2023-06-01,2024-08-01,Any All,True,Tertian,001Ps00000l5eUpIAI,003Ps00000frkiYIAQ,3657,156
Parochial Vicar,True,Full Time,2024-09-01,,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54gXIAQ,,3656,156
Sabbatical,False,Full Time,2024-08-12,2024-12-15,Any All,True,Sabbatical,001Ps00000l5eDgIAI,,3655,156
Diaconal Year,True,Full Time,2024-08-05,,Any All,True,Diaconal Year,001Ps00000l54hNIAQ,,3654,156
Maintenance,False,,,,Any All,True,Maintenance,001Ps00000l54gjIAA,003Ps00000frjvUIAQ,3653,156
Finance,False,,2023-07-01,,Any All,True,Finance,001Ps00000l54frIAA,003Ps00000frlopIAA,3652,156
Administrative Assistant,False,,2024-05-22,,Any All,True,Administrative Assistant,001Ps00000l54hAIAQ,003Ps00000frkFUIAY,3651,156
Parish Secretary,False,,,,Any All,True,Parish Secretary,001Ps00000l5CTtIAM,003Ps00000frkFjIAI,3650,156
Director of Religious Education,False,,2024-07-31,,Any All,True,Director of Religious Education,001Ps00000l54hNIAQ,003Ps00000frkYDIAY,3649,156
Seminarian,True,Full Time,2024-08-01,,Any All,True,Seminarian,001Ps00000l54fzIAA,003Ps00000frktCIAQ,3648,156
Seminarian,True,Full Time,2024-07-01,,Any All,True,Seminarian,001Ps00000l54fzIAA,003Ps00000frkjAIAQ,3647,156
Seminarian,True,Full Time,2024-08-01,,Any All,True,Seminarian,001Ps00000l54fzIAA,003Ps00000frkgbIAA,3646,156
Seminarian,True,Full Time,2024-08-01,,Any All,True,Seminarian,001Ps00000l54fzIAA,003Ps00000frjmkIAA,3645,156
"Office Manager, OMCE",False,Full Time,2024-07-29,,Any All,True,"Office Manager, OMCE",001Ps00000l54frIAA,003Ps00000frjvsIAA,3644,156
HR Generalist,False,,2024-07-17,2025-01-10,Any All,True,HR Generalist,001Ps00000l54frIAA,003Ps00000frkNyIAI,3643,156
Faculty,False,Full Time,2023-08-16,,Any All,True,Faculty,001Ps00000l5eDfIAI,003Ps00000frkG7IAI,3642,156
Director of Continuing Education,True,Part Time,2024-07-01,,Any All,True,Director of Continuing Education,001Ps00000l54fyIAA,003Ps00000frlcRIAQ,3641,156
Rector,False,Full Time,2024-07-01,,Pastoral Assignment,True,Rector,001Ps00000l5eDgIAI,003Ps00000frkZyIAI,3640,156
"Coordinator, Child Protection",False,,2024-07-01,,Any All,True,"Coordinator, Child Protection",001Ps00000l54frIAA,003Ps00000frllXIAQ,3639,156
Seminarian,True,Full Time,2024-08-01,,Any All,True,Seminarian,001Ps00000l54fzIAA,003Ps00000frkQtIAI,3638,156
On Leave,True,Full Time,2024-07-01,,Any All,True,On Leave,001Ps00000l54fyIAA,,3637,156
On Leave,True,Full Time,2024-07-01,2025-01-14,Any All,True,On Leave,001Ps00000l54fyIAA,003Ps00000frlinIAA,3636,156
Parochial Vicar,True,Full Time,2024-09-25,2025-02-17,Pastoral Assignment,True,Parochial Vicar,001Ps00000l54h1IAA,003Ps00000frkOBIAY,3635,156
Special Assignment,True,Full Time,2024-07-01,2024-09-24,Any All,True,Special Assignment,001Ps00000l54fyIAA,003Ps00000frkOBIAY,3634,156
Visiting Priest,True,Full Time,2024-06-30,2024-09-20,Any All,True,Visiting Priest,001Ps00000l5CUgIAM,,3633,156
Vicar for Clergy pro tempore,True,Full Time,2024-07-01,2024-11-30,Any All,True,Vicar for Clergy pro tempore,001Ps00000l54fyIAA,003Ps00000frjjJIAQ,3632,156
Pastor,True,Full Time,2024-07-01,,Pastoral Assignment,True,Pastor,001Ps00000l54gvIAA,,3631,156
