,Name,Formal_Name__c,RecordTypeId,mbfc__Church_Type__c,mbfc__Deanery__c,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Fax,mbfc__Email__c,Website,mbfc__Mass_Times__c,mbfc__Abbreviation__c,mbfc__Religious_Suffix__c,mbfc__Type_Members__c,Description,Archdiocese_Assigns_Clergy__c,mbfc__Non_Latin__c,Disabled_Access__c,Locator_Description__c,Parent_Parish__c,mbfc__Date_Established__c,County__c,Sanctuary_Capacity__c,Religious_Secular_Order__c,Pontifical_or_Diocesan_Order__c,Archdiocesan_School_Code__c,Grades_Provided__c,Job_Id__c,Archdpdx_Migration_Id__c,mbfc__Organization_Type__c,ParentId
31,Marketing and Communications,Marketing and Communications,012Ps000002fU2eIAE,,,"Pastoral Center
2838 E Burnside St",Portland,OR,97214,,503-233-8332,,news@archdpdx.org,https://archdpdx.org/communications,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_58,,
32,Catholic Charities,Catholic Charities,012Ps000002fU2eIAE,,,2740 SE Powell Blvd,Portland,OR,97202,,503-231-4866,,,https://www.catholiccharitiesoregon.org/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_59,,
33,Bristol Hospice - Eugene,Bristol Hospice - Eugene,012Ps000002fU2eIAE,,,1077 Gateway Loop Ste B,Springfield,OR,97477,,541-844-0151,541-636-2722,,https://bristolhospice.com/eugene/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_60,,
34,"Our Lady of Perpetual Help, St Mary’s, Albany","Our Lady of Perpetual Help, St Mary’s",012Ps000002fU2bIAE,Parish,0017x0000107knFAAQ,"Our Lady of Perpetual Help, St Mary’s Parish
815 Broadalbin St SW",Albany,OR,97321,,541-926-1449,541-926-2191,olphoffice@stmarysalbany.com,https://stmarysalbany.com/,"<p><strong>Weekend Mass</strong></p><p>Saturday Vigil 5:00 pm, 7:00 pm (Español)<br>Sunday 8:30 am; 10:30 am; 12:30 pm (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday Noon<br>Wednesday 8:30 am, 7:00 pm (Español)<br>Thursday, Friday 8:30 am<br>First Saturday 10:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:00 – 4:30 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Wednesday 6:00 pm – 7:00 pm in the Church<br>Daily 9:00 am – 5:00 pm in the Chapel</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,SW Ellsworth St between 8th and 9th Streets,,1885-01-01,Linn,600.0,,,,,152,Parishes_1,,0017x0000107vUEAAY
35,"St. Andrew Dũng-Lạc Mission, Aloha",St. Andrew Dũng-Lạc,012Ps000002fU2bIAE,Parish,0017x0000107knRAAQ,"St. Andrew Dũng-Lạc Mission
7390 SW Grabhorn Rd",Aloha,OR,97007,,503-591-5302,,,http://www.anredl.org/,"<p><strong>Weekend Mass</strong></p><p>Sunday 9:00 am, 11:00 am (Youth)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday 6:30 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Sunday 10:15–11:15 am<br>Tuesday 6:00 pm</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,False,False,False,SW Grabhorn Rd/209th Ave and Farmington Rd,0017x0000107tKQAAY,,Washington,0.0,,,,,152,Parishes_2,,0017x0000107vUEAAY
36,"St. Elizabeth Ann Seton, Aloha",St. Elizabeth Ann Seton,012Ps000002fU2bIAE,Parish,0017x0000107knUAAQ,"St. Elizabeth Ann Seton Parish
3145 SW 192nd Ave",Aloha,OR,97003,,503-649-9044,503-848-2915,admin@seas-aloha.org,http://www.seas-aloha.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm (Español)<br>Sunday 8:00 am, 11:00 am (English), 1:00 pm (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday–Friday 8:00 am<br>Tuesday 7:00 pm (Español)</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Tuesday 8:00–9:00 pm<br>Friday 9:00–10:00 am<br>Saturday 4:00–5:00 pm<br>or by appointment</p><p><br></p><p><strong>Adoration/Adoración</strong></p><p>Sunday 11:00 am–3:00 pm (chapel)<br>Monday–Wednesday 10:00 am–6:00 pm (chapel)<br>Thursday 10:00 am–4:00 pm (chapel)<br>Friday 9:00 am–6:00 pm (chapel, exposition)</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1982-01-01,Washington,675.0,,,,,152,Parishes_3,,0017x0000107vUEAAY
37,"St. Peter the Fisherman Mission, Arch Cape",St. Peter the Fisherman,012Ps000002fU2bIAE,Parish,0017x0000107knNAAQ,"St. Peter the Fisherman Mission
PO Box 29",Seaside,OR,97138,,503-436-2876,,olvoffice@archdpdx.org,http://ourladyofvictoryseaside.org/,<p><strong>Weekend Mass</strong></p><p>Sunday 9:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Friday 10:00 am<br>or by appointment</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,True,79441 Hwy 101 S,0017x0000107tLBAAY,,Clatsop,0.0,,,,,152,Parishes_4,,0017x0000107vUEAAY
38,"Our Lady of the Mountain, Ashland",Our Lady of the Mountain,012Ps000002fU2bIAE,Parish,0017x0000107knTAAQ,"Our Lady of the Mountain Parish
987 Hillview Dr",Ashland,OR,97520,,541-482-1146,541-488-5174,olmop@mind.net,https://ourladymt.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:00 pm<br>Sunday 9:30 am, Noon (Español), 5:00 pm</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Wednesday, Friday 9:30 am<br>Tuesday, Thursday Noon<br>First Saturday 9:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>First Saturday 8:15–8:45 am, 9:45–11 am<br>All other Saturdays 3:30–4:30 pm<br>or by appointment</p><p><br></p><p><strong>Adoration</strong></p><p>First Friday 9:00 am–6:00 pm<br>or 24 hours per day in the Adoration Chapel (requires keycode)</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1887-01-01,Jackson,0.0,,,,,152,Parishes_5,,0017x0000107vUEAAY
39,"St. Mary Star of the Sea, Astoria",St. Mary Star of the Sea,012Ps000002fU2bIAE,Parish,0017x0000107knNAAQ,"St. Mary Star of the Sea Parish
1465 Grand Ave",Astoria,OR,97103,,503-325-3671,503-325-7983,office@stmaryastoria.com,http://www.stmaryastoria.com/,"<p><strong>Weekend Mass</strong></p><p>Sunday 8:30 am; 10:30 am; Noon (Español)</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Tuesday, Wednesday, Friday 8:00 am</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Wednesday 5:00–5:30<br>or by appointment</p><p><br></p><p><strong>Eucharistic Adoration</strong></p><p>Wednesdays 9:00 am – 6:00 pm<br>First Fridays 8:00 pm–Saturday 8:00 am</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1874-01-01,Clatsop,480.0,,,,,152,Parishes_7,,0017x0000107vUEAAY
40,"Holy Trinity, Bandon",Holy Trinity,012Ps000002fU2bIAE,Parish,0017x0000107knQAAQ,"Holy Trinity Parish
355 Oregon Ave SE",Bandon,OR,97411,,541-329-0697,,holytrinitybandon@yahoo.com,https://www.holytrinitybandon.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday Vigil 5:00 pm<br>Sunday 10:30 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Wednesday 5:00 pm<br>Thursday, Friday Noon</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Saturday 3:30 pm–4:45 pm</p><p><br></p><p><strong>Adoration</strong></p><p>Thusday 12:30 pm–8:00 pm<br>Friday 9:30 am–Noon</p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1883-01-01,Coos,0.0,,,,,152,Parishes_8,,0017x0000107vUEAAY
41,"Holy Trinity, Beaverton",Holy Trinity,012Ps000002fU2bIAE,Parish,0017x0000107knGAAQ,"Holy Trinity Parish
13715 SW Walker Rd",Beaverton,OR,97005,,503-643-9528,,parish@h-t.org,https://www.h-t.org/,"<p><strong>Weekend Mass</strong></p><p>Saturday 5:30 pm<br>Sunday 8:00 am, 9:30 am, and 11:15 am</p><p><br></p><p><strong>Weekday Mass</strong></p><p>Monday-Friday 8:15 am<br>Saturday following First Friday: 8:15 am</p><p><br></p><p><strong>Holy Day Mass</strong></p><p>8:15 am and 7:00 pm</p><p><br></p><p><strong>Reconciliation (Confession)</strong></p><p>Friday 8:45 am–9:30 am<br>Saturday 4:00–5:00 pm<br>First Saturday: 7:30-8:00 am</p><p><br></p><p><strong>Adoration</strong></p><p>Perpetual (via combination lock)<br>Thursday 6:00–7:00 pm<br>First Friday: 9:00 am–9:00 pm<br>Saturday following First Friday: 5:30 am–8:15 am<br></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>",,,,,True,False,True,,,1962-01-01,Washington,900.0,,,,,152,Parishes_9,,0017x0000107vUEAAY
